"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 31 21:13:41 GMT 2023","Tue Oct 31 21:13:41 GMT 2023","10","","exercices.ExercisesJava8Test","","exercices.ExercisesJava8Test","isAnagramTest","isAnagramTest(String, String, boolean) #1 - <Mother In Law> is anagram of <Hitler Woman> to be <true>",""
"passed","Tue Oct 31 21:13:41 GMT 2023","Tue Oct 31 21:13:41 GMT 2023","2","","exercices.ExercisesJava8Test","","exercices.ExercisesJava8Test","testFrequencyOfCharIn","testFrequencyOfCharIn(String, char, int) #2 - get frequency of i in Sicily",""
"passed","Tue Oct 31 21:13:41 GMT 2023","Tue Oct 31 21:13:41 GMT 2023","3","","exercices.ExercisesJava8Test","","exercices.ExercisesJava8Test","isAnagramTest","isAnagramTest(String, String, boolean) #2 - <keEp> is anagram of <peeK> to be <true>",""
"passed","Tue Oct 31 21:13:41 GMT 2023","Tue Oct 31 21:13:41 GMT 2023","3","","exercices.ExercisesJava8Test","","exercices.ExercisesJava8Test","secondSmallestElementTest","secondSmallestElementTest(int[], int) #5 - secondSmallestElement of <[2, 1, 23, 64, 41, 88, 35]> is <2>",""
"passed","Tue Oct 31 21:13:41 GMT 2023","Tue Oct 31 21:13:41 GMT 2023","4","","exercices.ExercisesJava8Test","","exercices.ExercisesJava8Test","testFrequencyOfCharIn","testFrequencyOfCharIn(String, char, int) #1 - get frequency of a in Panama",""
"passed","Tue Oct 31 21:13:41 GMT 2023","Tue Oct 31 21:13:41 GMT 2023","3","","exercices.ExercisesJava8Test","","exercices.ExercisesJava8Test","secondSmallestElementTest","secondSmallestElementTest(int[], int) #2 - secondSmallestElement of <[17, 7, 15, 64, 13, 4, 35]> is <7>",""
"passed","Tue Oct 31 21:13:41 GMT 2023","Tue Oct 31 21:13:41 GMT 2023","8","","exercices.ExercisesJava8Test","","exercices.ExercisesJava8Test","getFrequencyOfEachCharInStringTest","getFrequencyOfEachCharInStringTest(String, Map) #3 - frequency Of Each Char in Kitty",""
"passed","Tue Oct 31 21:13:41 GMT 2023","Tue Oct 31 21:13:41 GMT 2023","4","","exercices.ExercisesJava8Test","","exercices.ExercisesJava8Test","secondSmallestElementTest","secondSmallestElementTest(int[], int) #4 - secondSmallestElement of <[1, 2, 23, 64, 41, 88, 35]> is <2>",""
"passed","Tue Oct 31 21:13:41 GMT 2023","Tue Oct 31 21:13:41 GMT 2023","5","","exercices.ExercisesJava8Test","","exercices.ExercisesJava8Test","getFrequencyOfEachCharInStringTest","getFrequencyOfEachCharInStringTest(String, Map) #2 - frequency Of Each Char in Puppy",""
"passed","Tue Oct 31 21:13:41 GMT 2023","Tue Oct 31 21:13:41 GMT 2023","7","","exercices.ExercisesJava8Test","","exercices.ExercisesJava8Test","secondSmallestElementTest","secondSmallestElementTest(int[], int) #3 - secondSmallestElement of <[17, 17, -2, 64, 17, -1, 35]> is <-1>",""
"passed","Tue Oct 31 21:13:34 GMT 2023","Tue Oct 31 21:13:41 GMT 2023","6795","","SearchTests","","SearchTests","successfulSearchTest","successfulSearchTest()",""
"passed","Tue Oct 31 21:13:41 GMT 2023","Tue Oct 31 21:13:41 GMT 2023","32","","exercices.ExercisesJava8Test","","exercices.ExercisesJava8Test","getFrequencyOfEachCharInStringTest","getFrequencyOfEachCharInStringTest(String, Map) #1 - frequency Of Each Char in Panama",""
"passed","Tue Oct 31 21:13:41 GMT 2023","Tue Oct 31 21:13:41 GMT 2023","2","","exercices.ExercisesJava8Test","","exercices.ExercisesJava8Test","isAnagramTest","isAnagramTest(String, String, boolean) #3 - <joy> is anagram of <enjoy> to be <false>",""
"passed","Tue Oct 31 21:13:41 GMT 2023","Tue Oct 31 21:13:41 GMT 2023","2","","exercices.ExercisesJava8Test","","exercices.ExercisesJava8Test","testFrequencyOfCharIn","testFrequencyOfCharIn(String, char, int) #3 - get frequency of m in Argentina",""
"passed","Tue Oct 31 21:13:41 GMT 2023","Tue Oct 31 21:13:41 GMT 2023","166","","exercices.ExercisesJava8Test","","exercices.ExercisesJava8Test","secondSmallestElementTest","secondSmallestElementTest(int[], int) #1 - secondSmallestElement of <[17, 11, 15, 64, 13, 88, 35]> is <13>",""
